id;data_inversa;dia_semana;horario;Hora;Turno;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
331730;01/01/2021;sexta-feira;05:30:00; 5 ; Manhã ;SP;116;453;REGISTRO;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Amanhecer;Crescente;Nublado;Dupla;Curva;Não;1;0;1;0;0;0;1;1;-24,56168114;-47,86752174;SPRF-SP;DEL05-SP;UOP01-DEL05-SP
331804;01/01/2021;sexta-feira;08:05:00; 8 ; Manhã ;AM;174;937;MANAUS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;6;0;1;0;5;0;1;4;-2,508068;-60,036434;SPRF-AM;DEL01-AM;UOP01-DEL01-AM
331815;01/01/2021;sexta-feira;10:10:00; 10 ; Manhã ;CE;222;128,5;ITAPAJE;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;3;0;2;0;0;1;2;2;-3,707626;-39,623509;SPRF-CE;DEL04-CE;UOP03-DEL04-CE
331823;01/01/2021;sexta-feira;12:30:00; 12 ; Tarde ;RJ;493;18;MAGE;Ingestão de álcool e/ou substâncias psicoativas pelo pedestre;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Curva;Sim;2;0;1;0;1;0;1;2;-22,6687122;-43,01862696;SPRF-RJ;DEL02-RJ;UOP04-DEL02-RJ
331843;01/01/2021;sexta-feira;14:40:00; 14 ; Tarde ;RJ;393;252;BARRA DO PIRAI;Condutor Dormindo;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Não;3;0;1;1;1;0;2;2;-22,43422023;-43,77561487;SPRF-RJ;DEL05-RJ;UOP02-DEL05-RJ
331844;01/01/2021;sexta-feira;15:20:00; 15 ; Tarde ;BA;101;818,1;ITAMARAJU;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;1;0;1;0;0;0;1;1;-17,16637837;-39,57859039;SPRF-BA;DEL09-BA;UOP02-DEL09-BA
331855;01/01/2021;sexta-feira;15:45:00; 15 ; Tarde ;PR;277;51,3;SAO JOSE DOS PINHAIS;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Garoa/Chuvisco;Dupla;Curva;Não;4;0;1;0;3;0;1;3;-25,59515989;-48,90700787;SPRF-PR;DEL01-PR;UOP05-DEL01-PR
331857;01/01/2021;sexta-feira;15:30:00; 15 ; Tarde ;GO;20;183;ALVORADA DO NORTE;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;0;0;1;0;0;1;-14,456929;-46,474163;SPRF-DF;DEL02-DF;UOP02-DEL02-DF
331864;01/01/2021;sexta-feira;17:10:00; 17 ; Tarde ;SC;470;79,1;INDAIAL;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Nublado;Simples;Reta;Não;9;2;5;1;0;1;6;3;-26,951565;-49,306534;SPRF-SC;DEL04-SC;UOP01-DEL04-SC
331871;01/01/2021;sexta-feira;16:15:00; 16 ; Tarde ;MG;381;6,8;BETIM;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;3;0;1;1;1;0;2;2;-19,96825;-44,198708;SPRF-MG;DEL01-MG;UOP03-DEL01-MG
331910;01/01/2021;sexta-feira;19:50:00; 19 ; Noite ;SC;470;130;LONTRAS;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Não Informado;Sim;4;0;0;2;2;0;2;2;-27,16037609;-49,55657959;SPRF-SC;DEL04-SC;UOP02-DEL04-SC
